Citizenship,Number,of which male,of which female,of which children (unaccompanied minors included),of which unaccompanied minors *1
TURKMENISTAN,11,6.0,5.0,2.0,0.0
SYDAFRIKA,10,7.0,3.0,6.0,0.0
JAPAN,10,4.0,6.0,0.0,0.0
POLEN,10,6.0,4.0,3.0,0.0
BURMA,10,7.0,3.0,1.0,1.0
DOMINIKANSKA REPUBLIKEN,9,6.0,3.0,5.0,4.0
SPANIEN,9,4.0,5.0,6.0,0.0
TOGO,9,9.0,0.0,0.0,0.0
ARGENTINA,8,6.0,2.0,2.0,0.0
PERU,7,3.0,4.0,1.0,1.0
ZIMBABWE,7,1.0,6.0,3.0,0.0
BENIN,6,3.0,3.0,3.0,0.0
ECUADOR,6,4.0,2.0,1.0,0.0
UNGERN,6,2.0,4.0,2.0,0.0
SYDSUDAN,5,5.0,0.0,1.0,1.0
LITAUEN,5,4.0,1.0,1.0,0.0
SLOVENIEN,5,3.0,2.0,4.0,0.0
GREKLAND,5,3.0,2.0,2.0,0.0
BURKINA FASO,5,5.0,0.0,0.0,0.0
NIGER,5,5.0,0.0,2.0,1.0
BULGARIEN,5,3.0,2.0,0.0,0.0
FRANKRIKE,4,3.0,1.0,1.0,1.0
SAINT KITTS OCH NEVIS,4,2.0,2.0,2.0,0.0
SLOVAKIEN,4,2.0,2.0,2.0,0.0
KANADA,4,3.0,1.0,2.0,0.0
ITALIEN,3,1.0,2.0,3.0,0.0
NORDKOREA,3,2.0,1.0,0.0,0.0
SYDKOREA,3,3.0,0.0,1.0,1.0
TRINIDAD OCH TOBAGO,3,1.0,2.0,0.0,0.0
FÖRENADE ARABEMIRATEN,2,2.0,0.0,0.0,0.0
STORBRITANNIEN,2,1.0,1.0,1.0,0.0
KAP VERDE,2,2.0,0.0,0.0,0.0
NEDERLÄNDERNA,2,0.0,2.0,2.0,0.0
EKVATORIALGUINEA,2,0.0,2.0,0.0,0.0
CENTRALAFRIKANSKA REPUBLIKEN,2,1.0,1.0,0.0,0.0
COSTA RICA,2,1.0,1.0,1.0,0.0
LETTLAND,2,2.0,0.0,0.0,0.0
COMORERNA,2,2.0,0.0,0.0,0.0
AUSTRALIEN,1,1.0,0.0,0.0,0.0
BAHRAIN,1,1.0,0.0,0.0,0.0
BELIZE,1,1.0,0.0,0.0,0.0
ESTLAND,1,1.0,0.0,0.0,0.0
GRENADA,1,1.0,0.0,0.0,0.0
KAMBODJA,1,1.0,0.0,0.0,0.0
MALAYSIA,1,1.0,0.0,1.0,0.0
NORGE,1,1.0,0.0,0.0,0.0
PARAGUAY,1,0.0,1.0,0.0,0.0
TAIWAN,1,1.0,0.0,0.0,0.0
TJECKIEN,1,1.0,0.0,0.0,0.0
TYSKLAND,1,0.0,1.0,0.0,0.0
JAMAICA,1,1.0,0.0,0.0,0.0
